node,zone,lat,lon,dist_dc_mi,dc_within_10,prem_2020,prem_2021,prem_2022,prem_2023,prem_2024,prem_2025,prem_2026
CARNEYPT,AECO,39.757,-75.122,17.450,0,-0.381,-1.380,-1.810,-1.728,,,
MOTTS,AECO,39.619,-74.335,17.774,0,0.062,-0.540,-0.281,-0.644,0.098,0.024,0.339
MANTUA,AECO,39.794,-75.177,17.892,0,-0.323,-1.310,-1.829,-1.582,-0.431,-0.749,-1.281
SAYRECON,JCPL,40.693,-74.938,18.002,0,0.029,-0.687,-0.200,1.031,-0.079,-0.037,0.420
TABERNAC,AECO,39.801,-74.613,18.067,0,-0.320,-1.230,-1.435,-1.360,-0.494,-0.746,-1.100
MANCHEST,JCPL,40.027,-74.364,18.073,0,-0.048,-0.669,-0.415,-0.449,-0.221,-0.215,-0.166
WINSLOW,AECO,39.681,-74.845,18.565,0,-0.447,-1.444,-1.986,-1.603,-0.670,-1.040,-1.496
DOROTHY,AECO,39.413,-74.796,18.579,0,-0.243,-1.132,-1.272,-1.265,-0.268,-0.546,-0.761
SEAISLE,AECO,39.173,-74.677,18.583,0,-0.039,-0.867,-0.472,-1.065,0.080,-0.169,-0.327
CROWNPNT,AECO,39.835,-75.234,19.064,0,-0.513,-1.488,-2.288,-1.853,-0.577,-0.952,-1.788
ELASTIMO,JCPL,40.832,-74.826,19.347,0,-0.029,-0.344,0.186,0.406,-0.575,-0.213,-0.905
CORSON,AECO,39.191,-74.736,19.960,0,-0.055,-0.896,-0.544,-1.088,0.047,-0.207,-0.355
POHATCON,JCPL,40.794,-74.898,20.010,0,-0.116,-0.450,-0.023,0.333,-0.705,-0.525,-1.313
LAMB,AECO,39.724,-75.149,20.132,0,-0.292,-1.105,-1.232,-1.353,-0.375,-0.699,-1.007
TUCKAHOE,AECO,39.261,-74.809,20.747,0,-0.118,-0.999,-0.781,-1.080,0.019,-0.238,-0.334
MICKLETO,AECO,39.789,-75.239,20.808,0,-0.435,-1.435,-2.070,-1.786,-0.569,-0.928,-1.659
LAKEAVEN,AECO,39.894,-74.247,20.856,0,0.188,-0.399,0.467,-0.739,0.533,0.349,0.779
GLASSBOR,AECO,39.692,-75.125,21.125,0,-0.331,-1.216,-1.494,-1.432,-0.466,-0.803,-1.152
ROCKTOWN,JCPL,40.405,-74.947,21.415,0,-0.170,-0.821,-0.780,-0.936,-0.801,-0.584,-0.887
BRIDGEPO,AECO,40.561,-75.030,21.660,0,-0.477,-1.544,-2.168,-1.539,,,
DOTWWHAR,JCPL,40.948,-74.838,21.692,0,0.013,-0.332,0.459,0.472,-0.404,-0.055,-0.430
WHITINGS,JCPL,39.947,-74.452,22.011,0,0.005,-0.597,-0.256,-0.380,-0.142,-0.091,0.289
VALERO,AECO,39.829,-75.294,22.218,0,-0.405,-1.405,-1.966,-1.729,-0.537,-0.876,-1.567
DACOSTA,AECO,39.604,-74.746,22.225,0,-0.112,-0.812,-0.714,-0.994,-0.014,-0.187,0.000
SILVERLA,AECO,39.631,-75.004,22.470,0,-0.421,-1.426,-1.890,-1.559,-0.649,-0.967,-1.439
WARRENPT,PSEG,40.884,-74.894,23.246,0,0.451,3.037,2.872,1.883,0.723,0.697,1.604
CLAYTNAE,AECO,39.649,-75.126,23.703,0,-0.414,-1.389,-1.872,-1.617,-0.623,-0.986,-1.522
FRANKLAK,RECO,41.178,-74.558,23.821,0,0.567,2.768,2.538,3.012,2.375,3.599,1.238
OYSTERCR,JCPL,39.817,-74.121,24.175,0,0.002,-0.601,-0.239,-0.436,-0.123,-0.086,0.175
WASHINGT,AECO,40.709,-75.070,24.918,0,-0.333,-1.202,-1.534,-1.428,-0.456,-0.792,-1.122
LINCOLN1,AECO,39.701,-75.248,24.929,0,-0.076,-0.978,-0.689,-1.114,0.097,-0.241,-0.487
PEQUESTR,JCPL,40.815,-75.002,25.122,0,0.012,0.104,0.219,0.421,-0.807,-0.515,-1.047
MOSSMILL,AECO,39.570,-74.852,25.176,0,-0.079,-0.788,-0.567,-0.894,0.031,-0.126,0.028
GILBERT,JCPL,40.647,-75.096,25.251,0,-0.058,0.046,0.270,0.360,-1.046,-0.712,-1.696
SWAINTON,AECO,39.196,-74.878,26.051,0,-0.007,-0.777,-0.394,-1.034,0.121,0.015,1.093
MONSANTO,AECO,39.813,-75.367,26.216,0,-0.219,-1.074,-1.379,-1.423,-0.136,-0.463,-0.783
BECKETT,AECO,39.754,-75.331,26.259,0,-0.314,-1.220,-1.496,-1.390,-0.242,-0.562,-1.006
MINOTOLA,AECO,39.506,-74.923,26.718,0,-0.325,-1.277,-1.560,-1.411,-0.408,-0.733,-1.081
COURT,AECO,39.119,-74.823,26.732,0,0.121,-0.540,0.167,-0.829,0.392,0.259,1.052
PEERMONT,AECO,39.073,-74.763,26.860,0,0.117,-0.530,0.166,-0.852,0.378,0.248,1.091
NEWTON,JCPL,41.132,-74.773,26.917,0,-0.091,-0.602,0.056,0.416,-0.469,-0.418,-1.118
MANNMILL,AECO,39.562,-74.986,26.966,0,,,-1.458,-1.341,-0.223,-0.603,-0.904
WIND JC,JCPL,40.909,-74.970,27.451,0,0.137,-0.867,-0.908,-0.583,-0.540,-0.611,-1.054
BARNEGAT,AECO,39.754,-74.264,27.878,0,0.009,-0.608,-0.414,-0.622,-0.000,-0.058,0.251
UNION,AECO,39.292,-74.963,27.963,0,-0.115,-1.037,-0.815,-1.162,0.023,-0.313,-0.616
SMILLVIL,AECO,39.569,-75.117,28.469,0,0.145,-0.629,0.014,-0.826,0.527,0.283,0.426
KITTATIN,JCPL,41.053,-74.948,30.171,0,-0.124,-0.318,0.003,0.421,-1.118,-0.834,-1.665
OLDMAN,AECO,39.739,-75.411,30.472,0,-0.234,-1.093,-1.365,-1.448,-0.191,-0.542,-0.893
VINELAND,AECO,39.492,-75.003,30.530,0,0.073,-0.767,-0.136,-0.925,0.450,0.178,-0.069
CUMB AE,AECO,39.366,-75.027,30.764,0,-0.130,-1.060,-0.863,-1.188,0.002,-0.338,-0.665
WOODSTOW,AECO,39.639,-75.330,31.002,0,-0.257,-1.213,-1.262,-1.299,-0.181,-0.491,-0.713
COLUMBJC,JCPL,40.919,-75.068,32.394,0,-0.054,-0.089,0.123,0.422,-0.915,-0.667,-1.509
RIOGRAND,AECO,39.015,-74.886,34.214,0,0.134,-0.513,0.263,-0.799,0.444,0.238,0.584
SHERMAN,AECO,39.475,-75.127,34.660,0,-0.044,-0.929,-0.587,-1.072,0.163,-0.179,-0.385
CHAMBERS,AECO,39.696,-75.474,34.835,0,-0.471,-1.568,-2.152,-1.650,-0.578,-0.962,-1.530
VALEPKTP,AECO,39.297,-75.142,37.343,0,,-1.130,-1.946,-1.704,-0.527,-0.863,-1.537
QUINTON,AECO,39.545,-75.397,38.144,0,-0.146,-0.967,-0.881,-1.215,0.053,-0.232,-0.128
CAPEMAY,AECO,38.956,-74.940,39.163,0,0.250,-0.263,0.698,-0.690,0.580,0.407,0.905
CHURCHTO,AECO,39.619,-75.516,39.582,0,-0.471,-1.562,-2.105,-1.637,-0.534,-0.921,-1.454
LAUREL,AECO,39.439,-75.261,39.898,0,0.120,-0.552,0.071,-0.752,0.533,0.241,0.485
ROADSTOW,AECO,39.429,-75.330,42.313,0,-0.017,-0.726,-0.330,-0.841,0.354,0.041,0.269
SALEM,PSEG,39.470,-75.490,45.330,0,-0.656,-2.040,-2.892,-2.052,-1.085,-1.496,-2.367
