zip,zip_lat,zip_lon,nearest_node,node_zone,dist_miles,coord_quality,lmp_2020,lmp_2021,lmp_2022,lmp_2023,lmp_2024,lmp_2025,pct_chg_2020_2025
08234,39.38839,-74.62073,CARDIFF,AECO,2.73,exact,17.95,18.22,19.94,23.54,17.61,21.68,20.8
08240,39.48806,-74.53397,FAATC,AECO,2.97,manual_town,,,,23.63,17.72,21.795,
08241,39.5348,-74.4761,LENOX AE,AECO,7.21,fuzzy,18.02,18.42,20.11,23.76,17.78,21.91,21.6
08242,39.01738,-74.88691,RIOGRAND,AECO,0.67,manual_town,18.13,18.45,20.14,23.83,17.83,21.94,21.0
08243,39.15101,-74.69632,SEAISLE,AECO,0.2,manual_town,18.015,18.3,20.015,23.625,17.67,21.765,20.8
08244,39.31551,-74.59828,ENGLAND,AECO,2.69,fuzzy,18.02,18.3,20.01,23.67,17.69,21.77,20.8
08245,39.17651,-74.81903,SWAINTON,AECO,3.89,exact,18.03,18.41,20.02,23.64,17.69,21.78,20.8
08246,39.18097,-74.76581,CORSON,AECO,1.58,exact,18.01,18.3,20.0,23.6,17.66,21.75,20.8
08247,39.04897,-74.78622,PEERMONT,AECO,3.11,exact,18.1,18.45,20.12,23.78,17.79,21.9,21.0
08248,39.19496,-74.65755,SEAISLE,AECO,3.48,manual_town,18.015,18.3,20.015,23.625,17.67,21.765,20.8
08251,39.02882,-74.92892,RIOGRAND,AECO,3.03,manual_town,18.13,18.45,20.14,23.83,17.83,21.94,21.0
08260,38.99835,-74.8433,RIOGRAND,AECO,2.03,manual_town,18.13,18.45,20.14,23.83,17.83,21.94,21.0
08270,39.26136,-74.80909,TUCKAHOE,AECO,3.48,exact,17.98,18.27,19.97,23.62,17.67,21.75,21.0
08302,39.43861,-75.26065,LAUREL,AECO,1.71,exact,18.2,18.62,20.16,23.81,18.0,22.04,21.1
08310,39.53144,-74.89681,MINOTOLA,AECO,3.21,exact,17.87,18.17,19.87,23.42,17.48,21.58,20.8
08311,39.32787,-75.20404,VALEPKTP,AECO,4.75,manual_town,,,19.82,23.37,17.37,21.51,
08312,39.66142,-75.0839,CLAYTNAE,AECO,0.74,fuzzy,17.81,18.13,19.82,23.3,17.32,21.49,20.7
08314,39.2161,-74.93774,SWAINTON,AECO,10.39,exact,18.03,18.41,20.02,23.64,17.69,21.78,20.8
08316,39.28018,-74.93736,UNION,AECO,6.79,exact,17.97,18.27,19.95,23.55,17.61,21.7,20.8
08317,39.40069,-74.82963,DOROTHY,AECO,3.84,exact,17.93,18.21,19.93,23.51,17.57,21.66,20.8
08318,39.55765,-75.17772,SMILLVIL,AECO,4.29,manual_town,18.15,18.48,20.13,23.77,17.81,21.89,20.6
08319,39.37041,-74.81082,DOROTHY,AECO,4.7,exact,17.93,18.21,19.93,23.51,17.57,21.66,20.8
08320,39.38508,-75.1606,VALEPKTP,AECO,2.22,manual_town,,,19.82,23.37,17.37,21.51,
08321,39.2236,-75.14317,VALEPKTP,AECO,9.76,manual_town,,,19.82,23.37,17.37,21.51,
08322,39.6111,-75.04877,SILVERLA,AECO,3.95,manual_town,17.82,18.11,19.8,23.3,17.38,21.47,20.5
08323,39.39627,-75.36755,ROADSTOW,AECO,4.89,fuzzy,18.13,18.52,20.11,23.76,18.05,21.97,21.2
08324,39.22577,-75.00401,UNION,AECO,10.93,exact,17.97,18.27,19.95,23.55,17.61,21.7,20.8
08326,39.53842,-74.92772,MINOTOLA,AECO,2.61,exact,17.87,18.17,19.87,23.42,17.48,21.58,20.8
08327,39.25559,-74.94951,UNION,AECO,8.46,exact,17.97,18.27,19.95,23.55,17.61,21.7,20.8
08328,39.57967,-75.05638,SMILLVIL,AECO,2.69,manual_town,18.15,18.48,20.13,23.77,17.81,21.89,20.6
08329,39.28685,-75.00571,UNION,AECO,7.01,exact,17.97,18.27,19.95,23.55,17.61,21.7,20.8
08330,39.46934,-74.74716,DOROTHY,AECO,2.95,exact,17.93,18.21,19.93,23.51,17.57,21.66,20.8
08332,39.36622,-75.02685,CUMB AE,AECO,2.5,manual_town,17.96,18.26,19.94,23.54,17.6,21.68,20.7
08340,39.3933,-74.90726,UNION,AECO,2.44,exact,17.97,18.27,19.95,23.55,17.61,21.7,20.8
08341,39.52149,-74.95865,MINOTOLA,AECO,1.51,exact,17.87,18.17,19.87,23.42,17.48,21.58,20.8
08343,39.63635,-75.16756,CLAYTNAE,AECO,4.15,fuzzy,17.81,18.13,19.82,23.3,17.32,21.49,20.7
08344,39.56175,-74.98604,MANNMILL,AECO,0.81,manual_town,,,19.89,23.47,17.65,21.64,
08345,39.28846,-75.14359,VALEPKTP,AECO,5.31,manual_town,,,19.82,23.37,17.37,21.51,
08346,39.56955,-74.85209,MOSSMILL,AECO,0.52,manual_town,18.03,18.31,20.07,23.72,17.78,21.86,21.2
08348,39.30993,-74.97137,UNION,AECO,4.86,exact,17.97,18.27,19.95,23.55,17.61,21.7,20.8
08349,39.26094,-75.05926,VALEPKTP,AECO,8.06,manual_town,,,19.82,23.37,17.37,21.51,
08350,39.4907,-74.87364,MINOTOLA,AECO,3.85,exact,17.87,18.17,19.87,23.42,17.48,21.58,20.8
08352,39.47545,-75.12724,SHERMAN,AECO,4.1,fuzzy,18.02,18.33,20.01,23.61,17.68,21.76,20.8
08353,39.46242,-75.29244,ROADSTOW,AECO,1.65,fuzzy,18.13,18.52,20.11,23.76,18.05,21.97,21.2
08360,39.49235,-75.00345,VINELAND,AECO,1.27,manual_town,18.1,18.42,20.08,23.708,17.754,21.84,20.7
08361,39.44937,-74.95883,MINOTOLA,AECO,3.77,exact,17.87,18.17,19.87,23.42,17.48,21.58,20.8
08401,39.37734,-74.45107,ONTARIO,AECO,0.71,exact,18.2,18.39,20.13,23.8,17.86,21.93,20.5
08402,39.32639,-74.50447,MARVENAE,AECO,0.98,fuzzy,18.2,18.41,20.15,23.85,17.88,21.96,20.7
08403,39.3185,-74.54241,MARVENAE,AECO,2.73,fuzzy,18.2,18.41,20.15,23.85,17.88,21.96,20.7
08406,39.34205,-74.48263,MARVENAE,AECO,0.92,fuzzy,18.2,18.41,20.15,23.85,17.88,21.96,20.7
08501,40.16626,-74.55254,SANDHILL,PSEG,1.56,manual_town,18.16,18.3,20.14,23.36,17.85,21.91,20.6
08502,40.44822,-74.65324,MONTGOPS,PSEG,1.97,manual_town,18.12,18.19,20.05,23.39,17.82,21.87,20.7
08505,40.13559,-74.70726,WILLIAMS,AECO,1.49,exact,17.8,18.11,19.8,23.31,17.36,21.47,20.6
08510,40.18721,-74.42501,SMITHBUR,JCPL,3.54,fuzzy,18.11,18.18,20.04,23.61,17.8,21.85,20.7
08511,40.04374,-74.54765,COOKSTOW,JCPL,1.29,fuzzy,18.02,18.19,19.98,23.56,17.67,21.77,20.8
08512,40.32436,-74.52553,EATONCST,JCPL,2.21,manual_town,18.2,18.13,20.1,23.84,17.97,22.07,21.3
08514,40.13424,-74.49173,SANDHILL,PSEG,4.83,manual_town,18.16,18.3,20.14,23.36,17.85,21.91,20.6
08515,40.11918,-74.66289,WILLIAMS,AECO,1.64,exact,17.8,18.11,19.8,23.31,17.36,21.47,20.6
08518,40.1155,-74.80403,BUSTLETO,PSEG,2.74,fuzzy,17.93,18.155,19.9,23.29,17.485,21.6,20.5
08520,40.25813,-74.53931,WYCKOFF,JCPL,1.52,exact,18.14,18.0,19.96,23.75,17.87,21.86,20.5
08525,40.39772,-74.77952,PRNCTNPS,PSEG,6.54,manual_town,18.14,18.27,20.06,23.4,17.82,21.8,20.2
08527,40.10867,-74.3586,SMITHBUR,JCPL,6.41,fuzzy,18.11,18.18,20.04,23.61,17.8,21.85,20.7
08528,40.38711,-74.61892,HUNTGLEN,PSEG,2.1,manual_town,,18.31,20.07,23.2233,17.7333,21.77,
08530,40.37002,-74.91016,ROCKTOWN,JCPL,1.02,exact,17.98,18.24,19.98,23.46,17.66,21.7,20.7
08533,40.01559,-74.48508,COOKSTOW,JCPL,4.68,fuzzy,18.02,18.19,19.98,23.56,17.67,21.77,20.8
08534,40.32942,-74.79279,HOPEWEL1,PSEG,2.05,fuzzy,18.1,,,,,,
08535,40.23191,-74.43203,MANALAPA,JCPL,3.06,fuzzy,18.1,18.17,20.04,23.62,17.81,21.87,20.8
08536,40.33308,-74.58663,DEYRD,PSEG,0.91,fuzzy,18.09,18.3,,,,,
08540,40.36473,-74.65631,PRNCTNPS,PSEG,0.77,manual_town,18.14,18.27,20.06,23.4,17.82,21.8,20.2
08542,40.35452,-74.66056,PRNCTNPS,PSEG,0.4,manual_town,18.14,18.27,20.06,23.4,17.82,21.8,20.2
08544,40.34649,-74.65785,PRNCTNPS,PSEG,0.89,manual_town,18.14,18.27,20.06,23.4,17.82,21.8,20.2
08550,40.27995,-74.62212,CLARKSVI,PSEG,3.7,fuzzy,18.06,18.22,20.01,23.46,17.7,21.73,20.3
08551,40.44711,-74.83728,EFLEMING,JCPL,3.99,fuzzy,18.04,18.29,19.95,23.39,17.74,21.72,20.4
08553,40.40035,-74.63892,HUNTGLEN,PSEG,0.78,manual_town,,18.31,20.07,23.2233,17.7333,21.77,
08554,40.11298,-74.78109,MANSFLD,PSEG,1.91,fuzzy,,,,23.29,17.52,21.63,
08555,40.22074,-74.47016,WYCKOFF,JCPL,4.5,exact,18.14,18.0,19.96,23.75,17.87,21.86,20.5
08558,40.41341,-74.70374,HUNTGLEN,PSEG,2.75,manual_town,,18.31,20.07,23.2233,17.7333,21.77,
08559,40.43899,-74.98363,ROCKTOWN,JCPL,5.6,exact,17.98,18.24,19.98,23.46,17.66,21.7,20.7
08560,40.31549,-74.85702,HOPEWEL1,PSEG,3.89,fuzzy,18.1,,,,,,
